127.0.0.1 - - [24/Oct/2016:14:02:43 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:03:18 +0200] "GET /Alumni-2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:04:25 +0200] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:04:41 +0200] "POST /Alumni-2/index HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:04:59 +0200] "GET /Alumni-2/JSP/Login.jsp HTTP/1.1" 200 2424
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:09:50 +0200] "POST /Alumni-2/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:09:57 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 33101
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:10:09 +0200] "GET /Alumni-2/j5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:10:26 +0200] "POST /Alumni-2/View_Profile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:10:33 +0200] "GET /Alumni-2/JSP/View_Profile.jsp HTTP/1.1" 200 6446
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:11:06 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 33101
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:11:11 +0200] "GET /Alumni-2/JSP/CV.jsp HTTP/1.1" 200 6973
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:11:11 +0200] "GET /Alumni-2/ImageUpload HTTP/1.1" 200 53774
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:11:15 +0200] "GET /Alumni-2/JSP/Notifications.jsp HTTP/1.1" 200 11724
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:11:19 +0200] "GET /Alumni-2/JSP/People.jsp HTTP/1.1" 200 26099
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:14:22 +0200] "GET /Alumni-2/JSP/People.jsp HTTP/1.1" 200 26197
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:14:23 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:14:23 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:14:23 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:14:24 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:14:24 +0200] "GET /Alumni-2/css/forum.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:14:25 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:14:34 +0200] "POST /Alumni-2/search HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:14:38 +0200] "GET /Alumni-2/JSP/People.jsp HTTP/1.1" 200 7082
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:14:45 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 33101
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:14:53 +0200] "POST /Alumni-2/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:14:53 +0200] "GET /Alumni-2/JSP/Login.jsp HTTP/1.1" 200 2424
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:15:04 +0200] "POST /Alumni-2/index HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:15:05 +0200] "GET /Alumni-2/JSP/addUser.jsp HTTP/1.1" 200 3573
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:17:12 +0200] "POST /Alumni-2/addUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:17:12 +0200] "GET /Alumni-2/JSP/addUser.jsp HTTP/1.1" 200 3709
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:18:13 +0200] "POST /Alumni-2/addUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:18:13 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 2383
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:18:57 +0200] "POST /Alumni-2/index HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:18:57 +0200] "GET /Alumni-2/JSP/Login.jsp HTTP/1.1" 200 2424
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:19:04 +0200] "POST /Alumni-2/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:19:09 +0200] "GET /Alumni-2/JSP/PendingUsers.jsp HTTP/1.1" 200 9918
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:19:10 +0200] "GET /Alumni-2/css/feed_styles.css HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:33:29 +0200] "POST /Alumni-2/index HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:33:30 +0200] "GET /Alumni-2/JSP/Login.jsp HTTP/1.1" 200 2424
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:33:57 +0200] "GET /Alumni-2/JSP/addUser.jsp HTTP/1.1" 200 3573
0:0:0:0:0:0:0:1 - - [24/Oct/2016:14:34:29 +0200] "POST /Alumni-2/addUser HTTP/1.1" 302 -
