127.0.0.1 - - [16/Sep/2016:14:38:25 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:45:01 +0200] "GET /Alumni-2/ HTTP/1.1" 200 6235
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:45:02 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:45:02 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:45:03 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:45:03 +0200] "GET /Alumni-2/css/wallpaper.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:45:06 +0200] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:45:27 +0200] "GET /Alumni-2/JSP/Login.jsp HTTP/1.1" 200 3178
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:45:28 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:45:28 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:45:43 +0200] "POST /Alumni-2/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:45:56 +0200] "GET /Alumni-2/JSP/PendingUsers.jsp HTTP/1.1" 200 7720
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:45:56 +0200] "GET /Alumni-2/css/feed_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:46:11 +0200] "GET /Alumni-2/JSP/SystemUsers.jsp HTTP/1.1" 200 12396
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:46:21 +0200] "GET /Alumni-2/JSP/RejectedUsers.jsp HTTP/1.1" 200 6146
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:46:28 +0200] "GET /Alumni-2/JSP/Feed.jsp HTTP/1.1" 200 21157
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:48:13 +0200] "GET /Alumni-2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:48:16 +0200] "GET /Alumni-2/JSP/addUser.jsp HTTP/1.1" 200 3954
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:48:19 +0200] "POST /Alumni-2/addUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:48:20 +0200] "GET /Alumni-2/addUser.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:53:10 +0200] "GET /Alumni-2/addUser.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:53:28 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:53:28 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:53:28 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:53:28 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:53:41 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:53:47 +0200] "GET /Alumni-2/addUser.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:53:47 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:53:47 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:53:47 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:53:47 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:53:48 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:53:57 +0200] "GET /Alumni-2/addUser.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:53:57 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:53:57 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:53:57 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:53:57 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:53:58 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:54:09 +0200] "GET /Alumni-2/addUser.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:54:10 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:54:10 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:54:10 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:54:10 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:54:10 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:54:15 +0200] "POST /Alumni-2/addUser HTTP/1.1" 302 -
