127.0.0.1 - - [04/Oct/2016:09:51:47 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:53:07 +0200] "GET /Alumni-2/ HTTP/1.1" 200 6153
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:53:07 +0200] "GET /Alumni-2/ HTTP/1.1" 200 6153
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:53:10 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 200 2498
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:53:10 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 200 2498
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:53:11 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 200 5778
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:53:11 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 200 5778
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:53:17 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 200 17202
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:53:18 +0200] "GET /Alumni-2/css/wallpaper.jpg HTTP/1.1" 200 117379
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:53:39 +0200] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:53:55 +0200] "POST /Alumni-2/index HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:54:05 +0200] "GET /Alumni-2/JSP/Login.jsp HTTP/1.1" 200 2400
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:54:05 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 200 9566
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:54:05 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 200 75599
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:54:29 +0200] "GET /Alumni-2/JSP/addUser.jsp HTTP/1.1" 200 3425
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:55:12 +0200] "POST /Alumni-2/addUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:55:12 +0200] "GET /Alumni-2/JSP/addUser.jsp HTTP/1.1" 200 3690
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:55:22 +0200] "POST /Alumni-2/addUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:55:22 +0200] "GET /Alumni-2/JSP/addUser.jsp HTTP/1.1" 200 3867
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:55:31 +0200] "GET /Alumni-2/index.html HTTP/1.1" 200 6153
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:55:35 +0200] "POST /Alumni-2/index HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:55:35 +0200] "GET /Alumni-2/JSP/Login.jsp HTTP/1.1" 200 2400
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:55:37 +0200] "GET /Alumni-2/JSP/addUser.jsp HTTP/1.1" 200 3425
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:55:44 +0200] "POST /Alumni-2/index HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:55:44 +0200] "GET /Alumni-2/JSP/addUser.jsp HTTP/1.1" 200 3425
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:55:48 +0200] "POST /Alumni-2/addUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:55:48 +0200] "GET /Alumni-2/JSP/addUser.jsp HTTP/1.1" 200 4044
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:56:09 +0200] "POST /Alumni-2/addUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:56:09 +0200] "GET /Alumni-2/JSP/addUser.jsp HTTP/1.1" 200 4221
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:56:18 +0200] "POST /Alumni-2/addUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:56:18 +0200] "GET /Alumni-2/JSP/addUser.jsp HTTP/1.1" 200 4398
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:56:28 +0200] "POST /Alumni-2/addUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:56:28 +0200] "GET /Alumni-2/JSP/addUser.jsp HTTP/1.1" 200 4575
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:56:31 +0200] "POST /Alumni-2/addUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:56:31 +0200] "GET /Alumni-2/JSP/addUser.jsp HTTP/1.1" 200 4752
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:56:41 +0200] "GET /Alumni-2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:56:43 +0200] "POST /Alumni-2/index HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:56:43 +0200] "GET /Alumni-2/JSP/Login.jsp HTTP/1.1" 200 2400
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:56:45 +0200] "POST /Alumni-2/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:56:50 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 24482
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:56:50 +0200] "GET /Alumni-2/css/forum.css HTTP/1.1" 200 3360
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:57:18 +0200] "POST /Alumni-2/View_Profile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Oct/2016:09:57:19 +0200] "GET /Alumni-2/JSP/View_Profile.jsp HTTP/1.1" 200 5546
