127.0.0.1 - - [21/Oct/2016:16:28:43 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:28:56 +0200] "GET /Alumni-2/ HTTP/1.1" 200 6153
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:28:59 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 200 5778
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:28:59 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 200 2498
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:29:00 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 200 17202
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:29:02 +0200] "GET /Alumni-2/css/wallpaper.jpg HTTP/1.1" 200 117379
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:29:11 +0200] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:29:24 +0200] "POST /Alumni-2/index HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:29:25 +0200] "GET /Alumni-2/JSP/Login.jsp HTTP/1.1" 200 2400
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:29:25 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 200 75599
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:29:25 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 200 9566
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:29:31 +0200] "POST /Alumni-2/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:29:34 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 43799
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:29:34 +0200] "GET /Alumni-2/css/forum.css HTTP/1.1" 200 3366
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:29:35 +0200] "GET /Alumni-2/Post HTTP/1.1" 200 60963
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:40:22 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 27777
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:40:25 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:40:25 +0200] "GET /Alumni-2/css/forum.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:40:25 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:40:25 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:40:25 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:40:31 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:40:49 +0200] "POST /Alumni-2/Post HTTP/1.1" 500 1744
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:44:11 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 27340
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:44:12 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:44:12 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:44:12 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:44:12 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:44:12 +0200] "GET /Alumni-2/css/forum.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:44:13 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:44:19 +0200] "POST /Alumni-2/Post HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:44:19 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 30546
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:44:20 +0200] "GET /Alumni-2/Post HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:46:21 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 30504
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:46:21 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:46:21 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:46:21 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:46:21 +0200] "GET /Alumni-2/css/forum.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:46:21 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:46:21 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:46:22 +0200] "GET /Alumni-2/Post HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:46:22 +0200] "GET /Alumni-2/Post HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:46:29 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 30504
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:46:29 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:46:29 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:46:29 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:46:29 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:46:29 +0200] "GET /Alumni-2/css/forum.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:46:30 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:46:30 +0200] "GET /Alumni-2/Post HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:46:36 +0200] "POST /Alumni-2/Post HTTP/1.1" 500 3407
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:47:20 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 30523
0:0:0:0:0:0:0:1 - - [21/Oct/2016:16:47:20 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
