0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:44:37 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:45:38 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:45:58 +0200] "GET /Alumni-2/imdex.html HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:46:12 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:46:35 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:46:45 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:47:09 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:47:18 +0200] "GET /Alumni-2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:49:10 +0200] "GET /Alumni-2/addUser.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:50:45 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:50:45 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:50:45 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:50:45 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:50:45 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:50:45 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:51:20 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 2368
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:51:20 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:51:20 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:51:20 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:51:20 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:51:20 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:51:22 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:51:22 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:51:22 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:51:23 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:51:22 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:51:23 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:53:18 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:53:18 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:53:18 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:53:18 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:53:18 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:53:18 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:53:23 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:53:23 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:53:23 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
