0:0:0:0:0:0:0:1 - - [15/Oct/2016:08:49:12 +0200] "GET /Alumni-2/Post HTTP/1.1" 200 48660
0:0:0:0:0:0:0:1 - - [15/Oct/2016:08:49:33 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 38018
0:0:0:0:0:0:0:1 - - [15/Oct/2016:08:49:33 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:08:49:33 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:08:49:33 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:08:49:33 +0200] "GET /Alumni-2/css/forum.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:08:49:34 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:08:49:34 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:08:49:34 +0200] "GET /Alumni-2/Post HTTP/1.1" 200 48660
0:0:0:0:0:0:0:1 - - [15/Oct/2016:08:51:29 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 38018
0:0:0:0:0:0:0:1 - - [15/Oct/2016:08:51:29 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:08:51:29 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:08:51:29 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:08:51:30 +0200] "GET /Alumni-2/css/forum.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:08:51:30 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:08:51:30 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:08:51:30 +0200] "GET /Alumni-2/Post HTTP/1.1" 200 48660
0:0:0:0:0:0:0:1 - - [15/Oct/2016:09:01:14 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 38018
0:0:0:0:0:0:0:1 - - [15/Oct/2016:09:01:14 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:09:01:14 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:09:01:14 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:09:01:14 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:09:01:14 +0200] "GET /Alumni-2/css/forum.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:09:01:15 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:09:01:15 +0200] "GET /Alumni-2/Post HTTP/1.1" 200 48660
0:0:0:0:0:0:0:1 - - [15/Oct/2016:09:01:44 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 38018
0:0:0:0:0:0:0:1 - - [15/Oct/2016:09:01:44 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:09:01:44 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:09:01:44 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:09:01:44 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:09:01:44 +0200] "GET /Alumni-2/css/forum.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:09:01:44 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:09:01:44 +0200] "GET /Alumni-2/Post HTTP/1.1" 200 48660
0:0:0:0:0:0:0:1 - - [15/Oct/2016:09:02:23 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 38018
