127.0.0.1 - - [14/Oct/2016:13:04:46 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:05:42 +0200] "POST /Alumni-2/index HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:05:44 +0200] "GET /Alumni-2/JSP/Login.jsp HTTP/1.1" 200 2400
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:06:24 +0200] "POST /Alumni-2/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:06:35 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 31522
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:08:10 +0200] "POST /Alumni-2/Post HTTP/1.1" 500 1409
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:09:35 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 31522
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:09:36 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:09:36 +0200] "GET /Alumni-2/css/forum.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:09:36 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:09:36 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:09:36 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:09:37 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:26:06 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 16406
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:28:51 +0200] "POST /Alumni-2/Post HTTP/1.1" 500 1409
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:28:56 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 31522
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:46:46 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 31610
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:46:54 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:46:54 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:46:54 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:46:54 +0200] "GET /Alumni-2/css/forum.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:46:55 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:46:58 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:51:27 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 31610
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:51:29 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:51:30 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:51:30 +0200] "GET /Alumni-2/css/forum.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:51:30 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:51:30 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:51:32 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:52:39 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 31621
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:52:42 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:52:42 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:52:42 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:52:42 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:52:42 +0200] "GET /Alumni-2/css/forum.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:52:43 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:54:14 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 31621
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:54:15 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:54:15 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:54:15 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:54:15 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:54:15 +0200] "GET /Alumni-2/css/forum.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:54:15 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:54:37 +0200] "POST /Alumni-2/Post HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:54:39 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 31621
0:0:0:0:0:0:0:1 - - [14/Oct/2016:14:24:04 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 31621
0:0:0:0:0:0:0:1 - - [14/Oct/2016:14:24:09 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:14:24:09 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:14:24:09 +0200] "GET /Alumni-2/css/forum.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:14:24:10 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:14:24:10 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:14:24:15 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:14:26:38 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 31621
0:0:0:0:0:0:0:1 - - [14/Oct/2016:14:26:38 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:14:26:38 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:14:26:38 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:14:26:38 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:14:26:39 +0200] "GET /Alumni-2/css/forum.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:14:26:39 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:14:27:49 +0200] "POST /Alumni-2/Post HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:14:27:51 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 31621
0:0:0:0:0:0:0:1 - - [14/Oct/2016:14:37:47 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 31643
0:0:0:0:0:0:0:1 - - [14/Oct/2016:14:37:52 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:14:37:52 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:14:37:52 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:14:37:52 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:14:37:53 +0200] "GET /Alumni-2/css/forum.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:14:38:00 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:14:38:28 +0200] "POST /Alumni-2/Post HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:14:40:11 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 31623
0:0:0:0:0:0:0:1 - - [14/Oct/2016:14:40:14 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:14:40:14 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:14:40:14 +0200] "GET /Alumni-2/css/forum.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:14:40:15 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:14:40:15 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:14:40:16 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:14:40:40 +0200] "POST /Alumni-2/Post HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:14:40:42 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 31623
0:0:0:0:0:0:0:1 - - [14/Oct/2016:14:42:36 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 31624
